name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
Lexar THOR 16 GB,,"2,8",,Black,10.0,16.0,4,3200
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"2,8",3.187,Black,10.0,18.0,4,3600
G.Skill Trident Z RGB 16 GB,54.99,"2,8",3.437,Black,10.0,18.0,4,3600
Kingston FURY Beast RGB 32 GB,141.19,"2,16",4.412,White,10.0,30.0,5,6000
Corsair Vengeance 128 GB,372.99,"2,64",2.914,Black,13.125,42.0,5,6400
Corsair Vengeance RGB 16 GB,67.98,"2,8",4.249,Black / Gray,15.385,40.0,5,5200
Crucial CT2K8G48C40U5 16 GB,41.99,"2,8",2.624,Black,16.667,40.0,5,4800
G.Skill Trident Z5 Neo 64 GB,204.99,"2,32",3.203,Black / Silver,10.0,30.0,5,6000
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"2,16",2.499,Black,12.0,36.0,5,6000
Corsair Vengeance RGB 32 GB,147.99,"2,16",4.625,Black,9.333,28.0,5,6000
PNY XLR8 Gaming RGB 32 GB,94.99,"2,16",2.968,Black,12.0,36.0,5,6000
G.Skill Trident Z5 RGB 32 GB,139.99,"2,16",4.375,Black,9.444,34.0,5,7200
Kingston FURY Beast 8 GB,29.89,"1,8",3.736,Black,10.0,16.0,4,3200
G.Skill Trident Z5 Neo RGB 64 GB,,"2,32",,Black,8.667,26.0,5,6000
Corsair Vengeance 32 GB,96.99,"2,16",3.031,Black,15.385,40.0,5,5200
TEAMGROUP T-Create Expert 32 GB,62.99,"2,16",1.968,Gray,10.0,16.0,4,3200
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"2,16",2.656,Black,10.0,32.0,5,6400
Corsair Dominator Titanium 96 GB,427.99,"2,48",4.458,Black,11.429,40.0,5,7000
Corsair Vengeance LPX 16 GB,91.99,"2,8",5.749,Black,10.0,18.0,4,3600
Lexar THOR 32 GB,,"2,16",,Black,10.0,16.0,4,3200
Corsair Vengeance RGB Pro 16 GB,97.91,"2,8",6.119,White,10.0,16.0,4,3200
Patriot Viper Venom 16 GB,52.99,"2,8",3.312,Black / White,13.846,36.0,5,5200
G.Skill Trident Z5 Royal 64 GB,259.99,"2,32",4.062,Silver,10.0,32.0,5,6400
Crucial Pro 64 GB,125.99,"2,32",1.969,Black / Green,13.75,22.0,4,3200
Corsair Dominator Titanium 96 GB,419.99,"2,48",4.375,White,9.697,32.0,5,6600
ADATA XPG Lancer Blade RGB 32 GB,134.99,"2,16",4.218,Black,10.0,30.0,5,6000
Corsair Vengeance RGB 128 GB,389.99,"2,64",,Black,13.125,42.0,5,6400
Corsair Vengeance RGB 32 GB,144.99,"2,16",4.531,White / Silver,10.0,30.0,5,6000
Patriot Signature Line 32 GB,71.98,"2,16",2.249,Black,16.667,40.0,5,4800
Crucial CT2K16G48C40U5 32 GB,73.98,"2,16",2.312,Black,16.667,40.0,5,4800
G.Skill Trident Z5 Neo RGB 96 GB,414.99,"2,48",4.323,Black,9.333,28.0,5,6000
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"2,16",2.812,White,12.667,38.0,5,6000
Crucial Pro Overclocking 64 GB,199.99,"2,32",3.125,Black,12.5,40.0,5,6400
G.Skill Trident Z5 Neo RGB 64 GB,254.99,"2,32",3.984,Black,9.333,28.0,5,6000
Corsair Vengeance RGB Pro 32 GB,82.99,"2,16",2.593,Black,10.0,16.0,4,3200
G.Skill Flare X5 16 GB,,"1,16",,Black,12.0,36.0,5,6000
Corsair Vengeance 96 GB,324.99,"2,48",3.385,Black / Silver,10.0,30.0,5,6000
Corsair Vengeance LPX 8 GB,36.99,"1,8",4.624,Black / Yellow,13.333,16.0,4,2400
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"2,32",2.578,Black,10.0,30.0,5,6000
Lexar Ares RGB 32 GB,114.99,"2,16",3.593,Black,10.0,30.0,5,6000
Crucial CT2K8G4DFRA32A 16 GB,56.54,"2,8",3.534,Green,13.75,22.0,4,3200
Corsair Dominator Titanium 32 GB,179.99,"2,16",5.625,Black,10.0,30.0,5,6000
Crucial CT8G4DFS824A 8 GB,19.98,"1,8",2.498,Green,14.167,17.0,4,2400
Kingston HyperX Fury 16 GB,,"2,8",,Black / Silver,10.0,16.0,4,3200
Timetec PINNACLE Konduit 32 GB,59.99,"2,16",1.875,White,10.0,16.0,4,3200
Timetec PINNACLE Konduit 32 GB,,"2,16",,Black,10.0,18.0,4,3600
Kingston FURY Beast RGB 64 GB,244.99,"2,32",3.828,Black,10.0,30.0,5,6000
Corsair Vengeance RGB 64 GB,217.99,"2,32",3.406,Black,10.0,30.0,5,6000
Corsair Vengeance 192 GB,614.99,"4,48",3.203,Black,14.615,38.0,5,5200
G.Skill Trident Z5 RGB 64 GB,254.99,"2,32",3.984,Black,10.0,34.0,5,6800
