name,price,socket,form_factor,max_memory,memory_slots,color
ASRock B650I Lightning Wifi,199.99,AM5,Mini ITX,96,2,Black
ASRock X870E Taichi,468.95,AM5,EATX,256,4,Black
MSI MPG X870E EDGE TI WIFI,289.99,AM5,ATX,256,4,Silver / White
ASRock Phantom Gaming X870E Nova WiFi,299.99,AM5,ATX,256,4,Black / Purple
MSI PRO X870E-P WIFI,244.94,AM5,ATX,256,4,Black / Silver
MSI PRO B850-P WIFI,199.99,AM5,ATX,256,4,Silver / Black
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black
ASRock B850 Riptide WiFi,199.99,AM5,ATX,256,4,Black
MSI B840 GAMING PLUS WIFI,149.99,AM5,ATX,256,4,Silver / Black
ASRock B650M Pro RS,220.07,AM5,Micro ATX,256,4,Black / Silver
Asus TUF GAMING A520M-PLUS WIFI,110.46,AM4,Micro ATX,128,4,Black / Orange
ASRock B760M PG Riptide Wifi,119.99,LGA1700,Micro ATX,192,4,Black
ASRock B650 Steel Legend WiFi,280.35,AM5,ATX,256,4,White / Silver
Gigabyte B650 AORUS ELITE AX ICE,199.74,AM5,ATX,192,4,Silver
MSI X670E GAMING PLUS WIFI,189.99,AM5,ATX,192,4,Silver / Black
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX X870-I GAMING WIFI,448.99,AM5,Mini ITX,128,2,Black
Asus ROG STRIX Z790-A GAMING WIFI II,590.0,LGA1700,ATX,192,4,Black / Silver
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver
ASRock B760 Pro RS/D4,154.05,LGA1700,ATX,128,4,Silver / Black
ASRock B850M Steel Legend WiFi,179.99,AM5,Micro ATX,256,4,Silver / Black
Asus TUF GAMING B650M-PLUS WIFI,259.0,AM5,Micro ATX,192,4,Black
MSI B760M GAMING PLUS WIFI,252.19,LGA1700,Micro ATX,192,4,Black / Silver
Gigabyte B550M DS3H AC,99.99,AM4,Micro ATX,128,4,Black
Gigabyte B650M GAMING WIFI6E,177.17,AM5,Micro ATX,128,2,Silver / Black
MSI PRO B760-P WIFI DDR4,159.95,LGA1700,ATX,128,4,Black
Gigabyte B650 EAGLE,212.19,AM5,ATX,192,4,Black / Gray
MSI X870 GAMING PLUS WIFI,249.99,AM5,ATX,256,4,Black / White
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black
ASRock Z790 PRO RS WIFI,229.68,LGA1700,ATX,192,4,Silver / Black
Gigabyte A520M S2H,72.98,AM4,Micro ATX,64,2,Black
Asus TUF GAMING X570-PLUS (WI-FI),,AM4,ATX,128,4,Black / Gold
Asus Prime B450M-A II,140.0,AM4,Micro ATX,128,4,
Gigabyte B850I AORUS PRO,259.99,AM5,Mini ITX,128,2,
Gigabyte A520M DS3H V2,101.9,AM4,Micro ATX,128,4,Gray / Brown
MSI B550 GAMING GEN3,124.58,AM4,ATX,128,4,Black
MSI MAG B850M MORTAR WIFI,239.99,AM5,Micro ATX,256,4,Black / Green
Gigabyte B550 AORUS ELITE AX V2,149.99,AM4,ATX,128,4,Black / Silver
ASRock B850 Steel Legend WiFi,209.99,AM5,ATX,256,4,White / Black
MSI MPG B650I EDGE WIFI,289.99,AM5,Mini ITX,128,2,Black / Silver
MSI MAG Z790 TOMAHAWK WIFI,189.99,LGA1700,ATX,192,4,Black
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver
Asus ROG STRIX B860-I GAMING WIFI,219.99,LGA1851,Mini ITX,128,2,Black / Silver
Asus ROG STRIX B550-A GAMING,241.13,AM4,ATX,128,4,Black / White
NZXT N7 B650E,260.88,AM5,ATX,128,4,White
Gigabyte X870E AORUS PRO,349.99,AM5,ATX,256,4,Black
MSI Z790 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black
MSI MPG B850I EDGE TI WIFI,249.99,AM5,Mini ITX,128,2,Silver
ASRock B650 PRO RS,147.02,AM5,ATX,256,4,Black / Silver
Gigabyte Z790 S WIFI DDR4 (rev. 1.0),,LGA1700,ATX,128,4,Black
Gigabyte B650E AORUS ELITE X AX ICE,209.0,AM5,ATX,192,4,Silver / White
MSI PRO B840-P WIFI,159.99,AM5,ATX,256,4,Silver
ASRock B550M-ITX/ac,99.99,AM4,Mini ITX,64,2,Silver / Black
Gigabyte X870E AORUS MASTER,499.99,AM5,ATX,256,4,Black
ASRock B850 Pro-A,139.99,AM5,ATX,256,4,Black / Silver
ASRock B760M-H2/M.2,153.88,LGA1700,Micro ATX,96,2,Black / Silver
Asus ROG STRIX B850-E GAMING WIFI,339.0,AM5,ATX,256,4,Black
MSI MAG B650M MORTAR WIFI,198.99,AM5,Micro ATX,192,4,Black
ASRock B650M Pro X3D WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver
MSI PRO X870-P WIFI,273.0,AM5,ATX,256,4,Black / Silver
Asus PRIME B550-PLUS AC-HES,129.99,AM4,ATX,128,4,Silver / Black
Asus PRIME X870-P WIFI,219.99,AM5,ATX,192,4,Black / Silver
Gigabyte B650M AORUS ELITE AX,199.99,AM5,Micro ATX,192,4,Black
ASRock B550 Phantom Gaming-ITX/ax,149.99,AM4,Mini ITX,64,2,Silver / Black
Asus Z790-AYW WIFI W II,189.99,LGA1700,ATX,192,4,White
ASRock B850M Riptide WiFi,169.99,AM5,Micro ATX,256,4,Black
Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B760M-PLUS WIFI II,263.77,LGA1700,Micro ATX,192,4,Black / Orange
