item_name,category_name,item_price_in_php,stocks,total_capacity_gb,modules,ddr_gen,mhz,cl,voltage
"32gb (dual) ddr5 5600 Corsair Dominator Platinum white, CL36 1.25v, pn: CMT32GX5M2B5600C36W",Ram,9999.0,1,32,"2,16",5,5600,36,1.25
"32gb (dual) ddr5 6000 Kingston Fury Beast, CL36 1.35v, AMD EXPO, pn: KF560C36BBEK2-32 | KF560C36BBE2K2-32",Ram,7799.0,4,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 Kingston Fury Beast, CL40 1.25v, pn: KF560C40BBK2-32",Ram,7799.0,2,32,"2,16",5,6000,40,1.25
"32gb (dual) ddr5 6000 Patriot Elite 5 TUF White, CL36 1.35v, pn: PVER532G60C36KT",Ram,7799.0,2,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 Patriot Venom, CL36 1.35v, pn: PVV532G600C36K",Ram,5799.0,5,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 Tforce Delta RGB white, CL30 1.35v, pn: FF4D532G6000HC30DC01",Ram,8099.0,0,32,"2,16",5,6000,30,1.35
"32gb (dual) ddr5 6000 Tforce Delta RGB black, CL38 1.25v, pn: FF3D532G6000HC38ADC01",Ram,7850.0,6,32,"2,16",5,6000,38,1.25
"32gb (dual) ddr5 6000 Tforce Delta RGB white, CL38 1.25v, pn: FF4D532G6000HC38ADC01",Ram,7850.0,0,32,"2,16",5,6000,38,1.25
"32gb (dual) ddr5 6000 G.Skill Flare X5 black, CL36 1.25v, pn: F5-6000J3648D16GX2-FX5",Ram,6399.0,0,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 G.Skill Flare X5 black, CL32 1.35v, pn: F5-6000J3238F16GX2-FX5",Ram,7150.0,2,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Ripjaws M5 Neo RGB black, CL36 1.25v, AMD EXPO, pn: F5-6000J3648D16GX2-RM5NRK",Ram,6999.0,0,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 G.Skill Ripjaws M5 Neo RGB white, CL36 1.25v, AMD EXPO, pn: F5-6000J3648D16GX2-RM5NRW",Ram,6999.0,0,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 G.Skill Ripjaws M5 RGB black, CL32 1.35v, pn: F5-6000J3238F16GX2-RM5RK",Ram,7699.0,4,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Ripjaws M5 RGB white, CL32 1.35v, pn: F5-6000J3238F16GX2-RM5RW",Ram,7699.0,4,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB black, CL36 1.35v, pn: F5-6000J3636F16GX2-TZ5NR",Ram,8650.0,0,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB black, CL32 1.35v, pn: F5-6000J3238F16GX2-TZ5NR",Ram,8525.0,5,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB black, CL30 1.35v, pn: F5-6000J3038F16GX2-TZ5NR",Ram,8650.0,10,32,"2,16",5,6000,30,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB white, CL30 1.35v, pn: F5-6000J3036F16GX2-TZ5NRW",Ram,9150.0,4,32,"2,16",5,6000,30,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 RGB black, CL36 1.35v, pn: F5-6000J3636F16GX2-TZ5RK",Ram,8525.0,0,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 RGB silver, CL36 1.35v, pn: F5-6000J3636F16GX2-TZ5RS",Ram,8525.0,0,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 RGB white, CL36 1.35v, pn: F5-6000J3636F16GX2-TZ5RW",Ram,8525.0,1,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 RGB black, CL32 1.35v, pn: F5-6000J3238F16GX2-TZ5RK",Ram,7999.0,4,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Trident Z5 RGB white, CL32 1.35v, pn: F5-6000J3238F16GX2-TZ5RW",Ram,7999.0,3,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Ripjaws S5 black, CL32 1.35v, pn: F5-6000J3238F16GX2-RS5K",Ram,7150.0,0,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Ripjaws S5 white, CL32 1.35v, pn: F5-6000J3238F16GX2-RS5W",Ram,7150.0,0,32,"2,16",5,6000,32,1.35
"32gb (dual) ddr5 6000 G.Skill Ripjaws S5 black, CL36 1.25v, pn: F5-6000J3648D16GX2-RS5K",Ram,6299.0,0,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 G.Skill Ripjaws S5 white, CL36 1.25v, pn: F5-6000J3648D16GX2-RS5W",Ram,6299.0,0,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 Corsair Dominator Platinum black, CL36 1.25v, pn: CMT32GX5M2X6000C36",Ram,9999.0,1,32,"2,16",5,6000,36,1.25
"32gb (dual) ddr5 6000 Corsair Dominator Platinum black, CL36 1.35v, pn: CMT32GX5M2E6000C36",Ram,9699.0,2,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 Corsair Dominator Platinum black, CL36 1.35v, AMD EXPO, pn: CMT32GX5M2D6000Z36",Ram,10599.0,2,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6000 Corsair Dominator Titanium black, CL30 1.4v, pn: CMP32GX5M2B6000C30",Ram,10999.0,2,32,"2,16",5,6000,30,1.4
"32gb (dual) ddr5 6000 Corsair Dominator Titanium white, CL30 1.4v, pn: CMP32GX5M2B6000C30W",Ram,10999.0,0,32,"2,16",5,6000,30,1.4
"32gb (dual) ddr5 6200 Patriot Elite 5 White, CL42 1.35v, pn: PVER532G62C42KW",Ram,7750.0,2,32,"2,16",5,6200,42,1.35
"32gb (dual) ddr5 6200 Patriot Venom, CL40 1.35v, pn: PVV532G620C40K",Ram,6299.0,0,32,"2,16",5,6200,40,1.35
"32gb (dual) ddr5 6000 Patriot Venom RGB, CL36 1.35v, pn: PVVR532G600C36K",Ram,6550.0,3,32,"2,16",5,6000,36,1.35
"32gb (dual) ddr5 6200 Corsair Dominator Platinum black, CL36 1.30v, pn: CMT32GX5M2X6200C36",Ram,9899.0,2,32,"2,16",5,6200,36,1.3
"32gb (dual) ddr5 6200 Patriot Venom RGB, CL40 1.35v, pn: PVVR532G620C40K",Ram,7999.0,2,32,"2,16",5,6200,40,1.35
"32gb (dual) ddr5 6400 Tforce Delta RGB black, CL40 1.35v, pn: FF3D532G6400HC32ADC01",Ram,7799.0,4,32,"2,16",5,6400,40,1.35
"32gb (dual) ddr5 6400 Tforce Delta RGB white, CL40 1.35v, pn: FF4D532G6400HC32ADC01",Ram,7799.0,5,32,"2,16",5,6400,40,1.35
"32gb (dual) ddr5 6400 G.Skill Ripjaws M5 RGB black, CL32 1.4v, pn: F5-6400J3239G16GX2-RM5RK",Ram,7150.0,3,32,"2,16",5,6400,32,1.4
"32gb (dual) ddr5 6400 G.Skill Ripjaws M5 RGB white, CL32 1.4v, pn: F5-6400J3239G16GX2-RM5RW",Ram,7150.0,3,32,"2,16",5,6400,32,1.4
