,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
207,Tforce,Tforce Delta RGB white,3799.0,3,16,1,16,5,6000,38.0,1.25
208,Patriot,Patriot Venom,4699.0,9,32,1,32,5,5200,36.0,1.2
209,Patriot,Patriot Venom RGB,5199.0,9,32,1,32,5,5200,36.0,1.2
210,Patriot,Patriot Venom,5199.0,2,32,1,32,5,5600,36.0,1.25
211,Patriot,Patriot Venom RGB,5599.0,2,32,1,32,5,5600,36.0,1.25
212,Kingston,Kingston Fury Beast white,6699.0,9,32,1,32,5,6000,40.0,1.35
213,Kingston,Kingston Fury Beast RGB white,7250.0,6,32,1,32,5,6000,40.0,1.35
214,Patriot,Patriot Venom,5599.0,0,32,1,32,5,6000,30.0,1.35
215,Patriot,Patriot Venom RGB,6299.0,2,32,1,32,5,6000,30.0,1.35
216,Kingston,Kingston Fury Beast,3599.0,10,16,2,8,5,5200,40.0,1.25
217,Patriot,Patriot Venom,3799.0,0,16,2,8,5,5600,40.0,1.25
218,Kingston,Kingston Fury Beast,4280.0,14,16,2,8,5,6000,40.0,1.35
219,Kingston,Kingston Fury Beast RGB,5399.0,3,16,2,8,5,6000,40.0,1.35
220,Corsair,Corsair Dominator Platinum RGB black,7450.0,0,32,2,16,5,5200,40.0,1.25
221,Corsair,Corsair Dominator Platinum RGB white,7450.0,0,32,2,16,5,5200,40.0,1.25
222,Kingston,Kingston Fury Beast,6599.0,12,32,2,16,5,5600,36.0,1.25
223,Kingston,Kingston Fury Beast RGB,7199.0,2,32,2,16,5,5600,36.0,1.25
224,Patriot,Patriot Venom,5350.0,0,32,2,16,5,5600,36.0,1.25
225,G.Skill,G.Skill Trident Z5 RGB silver,7099.0,1,32,2,16,5,5600,36.0,1.2
226,G.Skill,G.Skill Ripjaws S5 black,6150.0,2,32,2,16,5,5600,36.0,1.2
227,G.Skill,G.Skill Ripjaws S5 white,6150.0,0,32,2,16,5,5600,36.0,1.2
228,G.Skill,G.Skill Ripjaws S5 black,6150.0,6,32,2,16,5,5600,46.0,1.1
229,G.Skill,G.Skill Ripjaws S5 white,6150.0,4,32,2,16,5,5600,46.0,1.1
230,Corsair,Corsair Dominator Platinum white,9450.0,1,32,2,16,5,5600,36.0,1.25
231,Kingston,Kingston Fury Beast,7399.0,11,32,2,16,5,6000,36.0,1.35
232,Kingston,Kingston Fury Beast,7299.0,4,32,2,16,5,6000,40.0,1.25
233,Patriot,Patriot Elite 5 TUF White,7799.0,0,32,2,16,5,6000,36.0,1.35
234,Patriot,Patriot Venom,5799.0,0,32,2,16,5,6000,36.0,1.35
235,Tforce,Tforce Delta RGB white,7999.0,5,32,2,16,5,6000,30.0,1.35
236,Tforce,Tforce Delta RGB black,7699.0,11,32,2,16,5,6000,38.0,1.25
237,Tforce,Tforce Delta RGB white,7699.0,5,32,2,16,5,6000,38.0,1.25
238,G.Skill,G.Skill Flare X5 black,6299.0,0,32,2,16,5,6000,36.0,1.25
239,G.Skill,G.Skill Flare X5 black,7150.0,0,32,2,16,5,6000,32.0,1.35
240,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6899.0,0,32,2,16,5,6000,36.0,1.25
241,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6899.0,0,32,2,16,5,6000,36.0,1.25
242,G.Skill,G.Skill Ripjaws M5 RGB black,7699.0,0,32,2,16,5,6000,32.0,1.35
243,G.Skill,G.Skill Ripjaws M5 RGB white,7699.0,0,32,2,16,5,6000,32.0,1.35
244,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6799.0,3,32,2,16,5,6000,36.0,1.35
245,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6799.0,4,32,2,16,5,6000,36.0,1.35
246,G.Skill,G.Skill Trident Z5 Neo RGB black,8650.0,1,32,2,16,5,6000,36.0,1.35
247,G.Skill,G.Skill Trident Z5 Neo RGB black,8199.0,3,32,2,16,5,6000,32.0,1.35
248,G.Skill,G.Skill Trident Z5 Neo RGB black,8450.0,9,32,2,16,5,6000,30.0,1.35
249,G.Skill,G.Skill Trident Z5 Neo RGB white,8999.0,1,32,2,16,5,6000,30.0,1.35
250,G.Skill,G.Skill Trident Z5 RGB black,8499.0,4,32,2,16,5,6000,36.0,1.35
